[Common_Strings].StoryEventsLevelText;Additional deputies (recommended)
[Form_World].LT_4;The faction changed the ventilation status in the territory of %s location %s
[Form_World].FilterHint_6;Biological hazard
[Form_ZonaMenu].FT_11;, there is a ventilation control panel
[Form_ZonaMenu].FHint9;The presence of a lethal level of biological hazard
[Form_ZonaMenu].BTNHint9;Manage ventilation status
[Form_PsyControl].TitleText;Actions with ventilation
[Form_PsyControl].LT_2;Ventilation status: %s
[Form_PsyControl].LT_3;You can turn the ventilation on and off. The cost is %s CR. Keep in mind that hazardous air can affect not only this area but also neighboring ones. Be prepared for unpredictable changes!
[Form_PsyControl].FT_1;You cannot turn the ventilation on or off. Be aware that hazardous air can affect not only this area but also others. Be careful!
[Form_PsyControl].FT_2;Turned off
[Form_PsyControl].FT_3;Turned on
[Buttons].BTN_PsyControl.Text;Ventilation
[Advisors.Advisor-0].Name;Unknown
[Advisors.Advisor-1].Name;Unknown
[Advisors.Advisor-2].Name;Unknown
[Advisors.Advisor-3].Name;Unknown
[Advisors.Advisor-4].Name;Unknown
[Advisors.Advisor-5].Name;Unknown
[Advisors.Advisor-6].Name;Unknown
[Advisors.Advisor-7].Name;Unknown
[Advisors.Advisor-08].Name;Unknown
[Advisors.Advisor-11].Name;Unknown
[Advisors.Advisor-13].Name;Collective mind
[Advisors.Advisor-14].Name;Nitro
[Advisors.Advisor-15].Name;Senka
[Advisors.Advisor-16].Name;Beard
[Advisors.Advisor-17].Name;Vano
[Advisors.Advisor-18].Name;Tuna
[Advisors.Advisor-19].Name;Hawaiian
[Advisors.Advisor-20].Name;Garmata
[Advisors.Advisor-21].Name;Grouse
[Advisors.Advisor-22].Name;Gonta
[Advisors.Advisor-23].Name;Crest
[Advisors.Advisor-24].Name;Trapper
[Advisors.Advisor-25].Name;Zulu
[Advisors.Advisor-26].Name;Cardan
[Advisors.Advisor-27].Name;Snag
[Advisors.Advisor-28].Name;Bonesetter
[Advisors.Advisor-29].Name;Crab
[Advisors.Advisor-30].Name;Sledgehammer
[Advisors.Advisor-31].Name;Pilot
[Advisors.Advisor-32].Name;Bear
[Advisors.Advisor-33].Name;Mitay
[Advisors.Advisor-34].Name;Noah
[Advisors.Advisor-35].Name;Petruha
[Advisors.Advisor-36].Name;Spartacus
[Advisors.Advisor-37].Name;Owl
[Advisors.Advisor-38].Name;Torba
[Advisors.Advisor-39].Name;Tremor
[Advisors.Advisor-40].Name;Awl
[Advisors.Advisor-41].Name;Jack
[Advisors.Advisor-42].Name;Gnome
[Advisors.Advisor-43].Name;Knuckles
[Advisors.Advisor-44].Name;Sultan
[Advisors.Advisor-45].Name;Shishak
[Advisors.Advisor-46].Name;Baptist
[Advisors.Advisor-47].Name;Captain Klimenko
[Advisors.Advisor-48].Name;Captain Tarasov
[Advisors.Advisor-49].Name;Lieutenant Kirillov
[Advisors.Advisor-50].Name;Lieutenant Podorozhny
[Advisors.Advisor-51].Name;Lieutenant Rogovets
[Advisors.Advisor-52].Name;Lieutenant Sergeev
[Advisors.Advisor-53].Name;Lieutenant Skelya
[Advisors.Advisor-54].Name;Lieutenant Stetsenko
[Advisors.Advisor-55].Name;Ensign Valentir
[Advisors.Advisor-56].Name;Sergeant Valyushok
[Advisors.Advisor-57].Name;Senior Sergeant Morozov
[Advisors.Advisor-58].Name;Sergeant Merkulov
[Advisors.Advisor-59].Name;Sergeant Ostrovsky
[Advisors.Advisor-60].Name;Sergeant Yarmoshuk
[Advisors.Advisor-61].Name;Strider
[Advisors.Advisor-62].Name;Degtyarev
[Advisors.Advisor-63].Name;Recruiter Captain
[Advisors.Advisor-64].Name;Lieutenant Gavrilenko
[Advisors.Advisor-65].Name;Morgan
[Advisors.Advisor-66].Name;Strider
[Advisors.Advisor-67].Name;Gaiduk
[Advisors.Advisor-68].Name;Yar
[Advisors.Advisor-69].Name;Kremen
[Advisors.Advisor-70].Name;Flint
[Advisors.Advisor-71].Name;Strider
[Advisors.Advisor-72].Name;Preacher
[Advisors.Advisor-73].Name;Devotee
[Advisors.Advisor-74].Name;Messiah
[Advisors.Advisor-75].Name;Strider
[Advisors.Advisor-76].Name;Hook
[Advisors.Advisor-77].Name;Hatchet
[Advisors.Advisor-78].Name;Vulture
[Advisors.Advisor-79].Name;Lawn
[Advisors.Advisor-80].Name;Corpse
[Advisors.Advisor-81].Name;Oak
[Advisors.Advisor-82].Name;Stake
[Advisors.Advisor-83].Name;Pianist
[Advisors.Advisor-84].Name;Surgeon
[Advisors.Advisor-85].Name;Kirzach
[Advisors.Advisor-86].Name;Koschei
[Advisors.Advisor-87].Name;Goblin
[Advisors.Advisor-88].Name;Skull
[Advisors.Advisor-89].Name;Doublet
[Advisors.Advisor-90].Name;Ridge
[Advisors.Advisor-91].Name;Tank
[Advisors.Advisor-92].Name;Black
[Advisors.Advisor-93].Name;Snout
[Advisors.Advisor-94].Name;Serbin
[Advisors.Advisor-95].Name;Topol
[Advisors.Advisor-96].Name;Topol (Spark)
[Advisors.Advisor-97].Name;Spark Squad
[Advisors.Advisor-98].Name;Mace
[Advisors.Advisor-99].Name;Mace (Spark)
[Advisors.Advisor-100].Name;Spirit
[Advisors.Advisor-101].Name;Spirit (Spark)
[Advisors.Advisor-102].Name;Snake
[Advisors.Advisor-103].Name;Snake (Spark)
[Advisors.Advisor-104].Name;Garry
[Advisors.Advisor-105].Name;Lieutenant Sokolov
[Advisors.Advisor-106].Name;Goiter
[Advisors.Advisor-107].Name;Professor Ozersky
[Advisors.Advisor-108].Name;Novikov
[Advisors.Advisor-109].Name;Black
[Advisors.Advisor-110].Name;Hatchet
[Advisors.Advisor-111].Name;Spartacus
[Advisors.Advisor-112].Name;Controller
[Achievements.Achiv-1].Name;Accepted into Duty!
[Achievements.Achiv-1].Desc;New achievement unlocked! Accept the Strider into the Duty faction.
[Achievements.Achiv-1].Desc-Logo;It is necessary to accept the Strider into the Duty faction (the Strider must become a candidate for deputy) and last 1 turn.
[Achievements.Achiv-2].Name;An ace up the sleeve!
[Achievements.Achiv-2].Desc;Ne achievement unlocked! Capture the entire Zone as the Bandits on Master difficulty.
[Achievements.Achiv-2].Desc-Logo;Capture the entire Zone as the Bandits on Master difficulty.
[Achievements.Achiv-3].Name;Free completely!
[Achievements.Achiv-3].Desc;A new achievement unlocked! Capture Yanov and its surrounding territories from the west and south in the Jupiter Outskirts location and hold it for 1 turn as the Freedom faction on Veteran difficulty or higher.
[Achievements.Achiv-3].Desc-Logo;Capture Yanov and the surrounding territories from the west and south in the Jupiter Outskirts location and hold it for 1 turn as the Freedom faction on Veteran difficulty or higher.
[Achievements.Achiv-4].Name;Mission accomplished!
[Achievements.Achiv-4].Desc;New achievement unlocked! Capture the X-8 Lab location and hold it for 1 turn as the Mercenaries on Veteran difficulty or higher.
[Achievements.Achiv-4].Desc-Logo;Capture the X-8 Laboratory location and hold it for 1 turn as the Mercenaries faction on Veteran difficulty or higher.
[Achievements.Achiv-5].Name;In His name!
[Achievements.Achiv-5].Desc;New achievement unlocked! Embrace the Cultist ideology for 15 turns as the Bandits on Master difficulty and survive for 1 turn.
[Achievements.Achiv-5].Desc-Logo;Accept the Cultist ideology for 15 turns as the Bandits on Master difficulty and survive for 1 turn.
[Achievements.Achiv-6].Name;The Sultan's Plan!
[Achievements.Achiv-6].Desc;New achievement unlocked! Embrace the Criminal ideology for 15 turns as the Free Stalkers on Experienced difficulty or higher and survive for 1 turn.
[Achievements.Achiv-6].Desc-Logo;Accept the Criminal ideology for 15 turns as the Free Stalkers faction on Experienced difficulty or higher and survive for 1 turn.
[Traders.World].Name;The outside world
[Traders.World].NeedText;Establishing contact with the outside world isn't always possible. 50% chance. Cost per attempt:
[Traders.YourGroup].Name;Trader of your faction
[Traders.YourGroup].NeedText;You can always trade with your merchant. Price:
[Traders.OtherGroup].Name;Trader of another faction
[Traders.OtherGroup].NeedText;To trade with other factions, first select the other's territory on the map.
[Traders.Trader1].Name;Beard
[Traders.Trader1].NeedText;You can trade with him if you control the territory of Stalkersky Skadovsk on the Zaton. Price:
[Traders.Trader2].Name;Owl
[Traders.Trader2].NeedText;You can trade with him if you control the territory of Stalkersky Skadovsk on the Zaton. Price:
[Traders.Trader3].Name;Hawaiian
[Traders.Trader3].NeedText;You can trade with him if you control the Stalker Yanov territory on Jupiter. Price:
[Traders.Trader4].Name;Nimble
[Traders.Trader4].NeedText;You can trade with him if you control the territory of Stalkersky Skadovsk on the Zaton. Price:
[StoryEvents.Event-1].Name;Additional deputies
[StoryEvents.Event-1].Desc-Owner;If you control territory %0:s of location %1:s by the end of turn 15, your faction will receive a new deputy candidate. The same will happen on turn 20.
[StoryEvents.Event-1].Desc-NonOwner;If you see this message, it's a bug in event #1.
[StoryEvents.Event-2].Name;Additional deputies
[StoryEvents.Event-2].Desc-Owner;If you control the Strider's Camp territory by the end of turn 10, your faction will have a new deputy candidate at its disposal.
[StoryEvents.Event-2].Desc-NonOwner;If you see this message, it's a bug in event #2.
[StoryEvents.Event-3].Name;Additional deputies
[StoryEvents.Event-3].Desc-Owner;If you control the Strider's Camp territory by the end of turn 10, your faction will have a new deputy candidate at its disposal.
[StoryEvents.Event-3].Desc-NonOwner;If you see this message, it's a bug in event #3.
[StoryEvents.Event-4].Name;Additional deputies
[StoryEvents.Event-4].Desc-Owner;If you control territory %0:s of location %1:s by the end of turn 15, your faction will have a new deputy candidate at its disposal.
[StoryEvents.Event-4].Desc-NonOwner;If you see this message, it's a bug in event #4.
[StoryEvents.Event-5].Name;Additional deputies
[StoryEvents.Event-5].Desc-Owner;If you control territory %0:s of location %1:s by the end of turn 5, your faction will receive a new deputy candidate. The same applies for turns 10, 15, and 20.
[StoryEvents.Event-5].Desc-NonOwner;If you see this message, it's a bug in event #5.
[StoryEvents.Event-6].Name;The emergence of a new candidate
[StoryEvents.Event-6].Desc-Owner;Strider has been added to the faction's staff. He can now be appointed deputy leader of the group.
[StoryEvents.Event-6].Desc-NonOwner;If you see this message, it's a bug in event #6.
[StoryEvents.Event-7].Name;The emergence of a new candidate
[StoryEvents.Event-7].Desc-Owner;Degtyarev has been added to the faction's staff. He can now be appointed deputy leader of the group.
[StoryEvents.Event-7].Desc-NonOwner;If you see this message, it's a bug in event #7.
[StoryEvents.Event-8].Name;Additional deputies
[StoryEvents.Event-8].Desc-Owner;Strider has been added to the faction's staff. He can now be appointed deputy leader of the group.
[StoryEvents.Event-8].Desc-NonOwner;If you see this message, it's a bug in event #8.
[StoryEvents.Event-9].Name;Additional deputies
[StoryEvents.Event-9].Desc-Owner;Strider has been added to the faction's staff. He can now be appointed deputy leader of the group.
[StoryEvents.Event-9].Desc-NonOwner;If you see this message, it's a bug in event #9.
[StoryEvents.Event-10].Name;Additional deputies
[StoryEvents.Event-10].Desc-Owner;Strider has been added to the faction's staff. He can now be appointed deputy leader of the group.
[StoryEvents.Event-10].Desc-NonOwner;If you see this message, it's a bug in event #10.
[StoryEvents.Event-11].Name;Additional deputies
[StoryEvents.Event-11].Desc-Owner;The "Iskra" squad is being formed. The character Snake has joined the squad. This has affected his stats.
[StoryEvents.Event-11].Desc-NonOwner;If you see this message, it's a bug in event #11.
[StoryEvents.Event-12].Name;This is technical event #1
[StoryEvents.Event-12].Desc-Owner;If you see this message, it's a bug in event #12.
[StoryEvents.Event-12].Desc-NonOwner;If you see this message, it's a bug in event #12.
[StoryEvents.Event-13].Name;Additional deputies
[StoryEvents.Event-13].Desc-Owner;The "Iskra" squad is being formed. The character Spirit has joined the squad. This has affected his stats.
[StoryEvents.Event-13].Desc-NonOwner;If you see this message, it's a bug in event #11.
[StoryEvents.Event-14].Name;Additional deputies
[StoryEvents.Event-14].Desc-Owner;If you see this message, it's a bug in event #14.
[StoryEvents.Event-14].Desc-NonOwner;If you see this message, it's a bug in event #14.
[StoryEvents.Event-15].Name;Additional deputies
[StoryEvents.Event-15].Desc-Owner;The "Iskra" squad is being formed. The character Mace has joined the squad. This has affected his stats.
[StoryEvents.Event-15].Desc-NonOwner;If you see this message, it's a bug in event #11.
[StoryEvents.Event-16].Name;Additional deputies
[StoryEvents.Event-16].Desc-Owner;If you see this message, it's a bug in event #14.
[StoryEvents.Event-16].Desc-NonOwner;If you see this message, it's a bug in event #14.
[StoryEvents.Event-17].Name;Additional deputies
[StoryEvents.Event-17].Desc-Owner;The "Iskra" squad is being formed. The character Mace has joined the squad. This has affected his stats.
[StoryEvents.Event-17].Desc-NonOwner;If you see this message, it's a bug in event #11.
[StoryEvents.Event-18].Name;Additional deputies
[StoryEvents.Event-18].Desc-Owner;If you see this message, it's a bug in event #14.
[StoryEvents.Event-18].Desc-NonOwner;If you see this message, it's a bug in event #14.
ScenarioName;Free Play: Call of Pripyat
ScenarioDescription;Free Play is a copy of the story mode, but with the story disabled and a few minor differences. There are no time limits. Victory is achieved by capturing the entire Zone, and defeat is achieved by losing the last territory. Diplomacy between factions may deviate from the canon during the game.
[Groups.bandits.:main].Spy1-Name;Newbie
[Groups.bandits.:main].Spy2-Name;Experiences
[Groups.bandits.:main].Spy3-Name;Veteran
[Groups.bandits.:main].Spy4-Name;Master
[Groups.bandits.:main].Name;Bandits
[Groups.bandits.:main].Description;Bandits are the criminal element of the Zone. They control significant territories further south. Despite their favorable location, defending them won't be easy, as they are in conflict with virtually everyone. They lack adequate weapons and a large number of skilled soldiers within their ranks. The faction needs to reorganize, both internally and externally.
[Groups.bandits.:main].DiplomacyText-Question-War;Well, what now, chump, had enough? Pull your piece out! The boys are already on their way!
[Groups.bandits.:main].DiplomacyText-Question-Neutral;Hey, hey! Easy there, bro, yeah? Maybe we stop blasting each other, huh? Deal?
[Groups.bandits.:main].DiplomacyText-Question-Alliance;Hey, bro, how about we team up, yeah? Like? shoot some suckers together? that kinda thing. Huh? Deal?
[Groups.bandits.:main].DiplomacyText-Question-BreakAlliance;Nah, you're a real punk, straight-up loser. From here on, every man for himself!
[Groups.bandits.:main].DiplomacyText-RequestMoney-Ask;Hey, you hear me, pal, got any spare change? Just a bit, like this much:
[Groups.bandits.:main].DiplomacyText-Ans-0-Down;Who the hell are you mouthing off to? Big man, you're dead, got it?!
[Groups.bandits.:main].DiplomacyText-Ans-1-Down;Man, that was just pathetic as hell?
[Groups.bandits.:main].DiplomacyText-Ans-1-No;We find you - we'll skin you alive!
[Groups.bandits.:main].DiplomacyText-Ans-1-Yes;Listen up, we won't touch you. For real, I swear on my word!
[Groups.bandits.:main].DiplomacyText-Ans-2-No;No, no, that's total crap, you're talking nonsense!
[Groups.bandits.:main].DiplomacyText-Ans-2-Yes;Hang in there, buddy, everything's gonna be fine?
[Groups.bandits.:main].DiplomacyText-RequestMoney-Ans-No;You hit your head or what? Where would we get that kinda cash? We could use it ourselves?
[Groups.bandits.:main].DiplomacyText-RequestMoney-Ans-Yes;Here, bro, take the cash!
