ScenarioName;Lost Contact. Additional Content
ScenarioDescription;This scenario depicts events from the period of the first military incursion into the Zone, which had only recently formed. Several military groups have been assembled, including Captain Tachenko's squad. The Army was not yet familiar with the mutants and anomalies about which rumors had already begun to circulate. But who needs rumors? A soldier needs an order! The order has been given... Double-time march into the unknown!
ScenarioVictoryDescription;Victory conditions: Complete all orders from Operation HQ.
ScenarioLoseDescription;Defeat conditions: lose all controlled territories or fail to meet victory conditions within approximately 50 turns.
[Groups.Soldiers.:main].Text-End-EventFlag-Lose;The squad failed to complete the mission. You have been ordered to return to base for investigation and court-martial. Defeat!
[Groups.MutantsE.:main].Name;Mutants;
[Groups.MutantsFW.:main].Name;Mutants;
[Groups.MutantsA.:main].Name;Mutants;
[Groups.MutantsU.:main].Name;Mutants;
[Groups.MutantsE.:main].Description;Mutants;
[Groups.MutantsFW.:main].Description;Mutants;
[Groups.MutantsA.:main].Description;Mutants;
[Groups.MutantsU.:main].Description;Mutants;
[Groups.Soldiers.:main].Name;Tachenko's Squad;
[Groups.Soldiers.:AntiZone].Name;Duty;
[Groups.SoldiersAI.:main].Name;Military;
[Groups.Soldiers.:main].Description;Tachenko's Squad – a small, hastily assembled detachment for a push deep into the Zone;
[Advisors.Advisor-Soldiers-1].Name;Unknown;
[Leaders.leader-sac-tachenko1].Name;Captain Tachenko;
[Leaders.leader-sac-tachenko2].Name;Captain Tachenko;
[Leaders.leader-sac-tachenko3].Name;Captain Tachenko;
[Leaders.leader-sac-tachenko4].Name;Captain Tachenko;
[Traders.Trader10].Name;Commander of Unknown Squad;
[Traders.Trader10].NeedText;Trading requires control of the Western Sector territory at the Instrument Plant location;
[Tutorial.Page-1].Text;Greetings, Captain Tachenko! Glad to have you at the staging area of the 3rd Special Purpose Detachment "Osprey". This small village is our starting point. There's some chaos in the command ranks right now. Contradictory orders are coming in. Plus, there's a rumor that some convoy is heading to CNPP along the road. I hope you can bring some clarity to the situation, because the men are on edge. Especially after what they saw behind the houses near the village. You've never seen anything like it! It's like in the movies! The air swirls and distorts around a specific spot, and when one of our guys threw some gravel into it, there was a loud bang, almost like a grenade! Come on, I'll show you. If the convoy goes through, the main thing is not to run into something like that, because after the CNPP incident, there are all sorts of rumors. And we've seen all kinds of disfigured animals through binoculars... Sends shivers down your spine to see such a sight. Command said you'd have a radio through which we'll receive further orders. You've arrived, which means the order should come soon. We just need to wait.
